date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:09:43	5249/5249	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Jul%202022%2004:09:44%20GMT	https://helgastoree.xyz/robots.txt		(from )
12:09:43	46403/46403	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Mar%202022%2004:54:41%20GMT	https://helgastoree.xyz/	C:/Users/user/Desktop/hehe/helgastoree.xyz/index.html	(from )
12:09:43	192348/192348	---M-Z	200	added ('OK')	text/css	etag:W/%2262219b91-2ef5c%22	https://helgastoree.xyz/css/bootstrap.css	C:/Users/user/Desktop/hehe/helgastoree.xyz/css/bootstrap.css	(from https://helgastoree.xyz/)
12:09:43	70057/70057	---M-Z	200	added ('OK')	text/css	etag:W/%2262219b91-111a9%22	https://helgastoree.xyz/css/fontawesome-all.css	C:/Users/user/Desktop/hehe/helgastoree.xyz/css/fontawesome-all.css	(from https://helgastoree.xyz/)
12:09:43	22256/22256	---M-Z	200	added ('OK')	text/css	etag:W/%2262219b91-56f0%22	https://helgastoree.xyz/css/swiper.css	C:/Users/user/Desktop/hehe/helgastoree.xyz/css/swiper.css	(from https://helgastoree.xyz/)
12:09:44	6951/6951	---M-Z	200	added ('OK')	text/css	etag:W/%2262219b91-1b27%22	https://helgastoree.xyz/css/magnific-popup.css	C:/Users/user/Desktop/hehe/helgastoree.xyz/css/magnific-popup.css	(from https://helgastoree.xyz/)
12:09:44	40603/40603	---M-Z	200	added ('OK')	text/css	etag:W/%2262219b91-9e9b%22	https://helgastoree.xyz/css/styles.css	C:/Users/user/Desktop/hehe/helgastoree.xyz/css/styles.css	(from https://helgastoree.xyz/)
12:09:44	187761/187761	---M--	200	added ('OK')	image/jpeg	etag:%2262219b91-2dd71%22	https://helgastoree.xyz/images/favicon.jpg	C:/Users/user/Desktop/hehe/helgastoree.xyz/images/favicon.jpg	(from https://helgastoree.xyz/)
12:09:45	289705/289705	---M--	200	added ('OK')	image/png	etag:%2262219b91-46ba9%22	https://helgastoree.xyz/images/logo.png	C:/Users/user/Desktop/hehe/helgastoree.xyz/images/logo.png	(from https://helgastoree.xyz/)
12:09:45	12392/12392	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Mar%202022%2004:54:41%20GMT	https://helgastoree.xyz/terms-conditions.html	C:/Users/user/Desktop/hehe/helgastoree.xyz/terms-conditions.html	(from https://helgastoree.xyz/)
12:09:46	18969/18969	---M--	200	added ('OK')	image/png	etag:%2262219b91-4a19%22	https://helgastoree.xyz/images/description-1.png	C:/Users/user/Desktop/hehe/helgastoree.xyz/images/description-1.png	(from https://helgastoree.xyz/)
12:09:46	1491725/1491725	---M--	200	added ('OK')	image/png	etag:%2262219b91-16c30d%22	https://helgastoree.xyz/images/header-software-app.png	C:/Users/user/Desktop/hehe/helgastoree.xyz/images/header-software-app.png	(from https://helgastoree.xyz/)
12:09:47	880475/880475	---M--	200	added ('OK')	image/png	etag:%2262219b91-d6f5b%22	https://helgastoree.xyz/images/description-2.png	C:/Users/user/Desktop/hehe/helgastoree.xyz/images/description-2.png	(from https://helgastoree.xyz/)
12:09:48	1339688/1339688	---M--	200	added ('OK')	image/png	etag:%2262219b91-147128%22	https://helgastoree.xyz/images/description-3.png	C:/Users/user/Desktop/hehe/helgastoree.xyz/images/description-3.png	(from https://helgastoree.xyz/)
12:09:48	1326428/1326428	---M--	200	added ('OK')	image/png	etag:%2262219b91-143d5c%22	https://helgastoree.xyz/images/description-5.png	C:/Users/user/Desktop/hehe/helgastoree.xyz/images/description-5.png	(from https://helgastoree.xyz/)
